onset	duration	rt	response	acc	type
0	n/a	n/a	n/a	n/a	dummy
1.999	n/a	n/a	n/a	n/a	dummy
3.999	n/a	n/a	n/a	n/a	dummy
6.224	19.8	1542	notsure	0	random
29.015	15.0	n/a	n/a	n/a	fix
43.996	20.0	1218	mental	1	mental
67.027	15.0	n/a	n/a	n/a	fix
82.008	20.0	796	mental	1	mental
105.039	15.0	n/a	n/a	n/a	fix
120.02	20.0	2174	notsure	0	random
143.051	15.0	n/a	n/a	n/a	fix
158.031	20.0	643	mental	1	mental
181.062	15.0	n/a	n/a	n/a	fix
