onset	duration	rt	response	acc	type
0	n/a	n/a	n/a	n/a	dummy
1.986	n/a	n/a	n/a	n/a	dummy
3.985	n/a	n/a	n/a	n/a	dummy
6.278	19.7	821	mental	1	mental
29.002	15.0	n/a	n/a	n/a	fix
43.983	20.0	0	n/a	0	random
67.014	15.0	n/a	n/a	n/a	fix
81.995	20.0	483	random	1	random
105.026	15.0	n/a	n/a	n/a	fix
120.007	20.0	839	mental	1	mental
143.038	15.0	n/a	n/a	n/a	fix
158.018	20.0	2178	mental	0	random
181.049	15.0	n/a	n/a	n/a	fix
