onset	duration	rt	response	acc	type
0	n/a	n/a	n/a	n/a	dummy
1.986	n/a	n/a	n/a	n/a	dummy
3.985	n/a	n/a	n/a	n/a	dummy
6.251	19.7	513	random	1	random
29.002	15.0	n/a	n/a	n/a	fix
43.983	20.0	818	mental	1	mental
67.014	15.0	n/a	n/a	n/a	fix
81.994	20.0	696	mental	1	mental
105.025	15.0	n/a	n/a	n/a	fix
120.006	20.0	892	random	1	random
143.037	15.0	n/a	n/a	n/a	fix
158.018	20.0	914	mental	1	mental
181.049	15.0	n/a	n/a	n/a	fix
