onset	duration	rt	response	acc	type
0	n/a	n/a	n/a	n/a	dummy
1.999	n/a	n/a	n/a	n/a	dummy
3.998	n/a	n/a	n/a	n/a	dummy
6.677	19.3	1561	mental	1	mental
29.042	15.0	n/a	n/a	n/a	fix
44.023	20.0	770	mental	1	mental
67.054	15.0	n/a	n/a	n/a	fix
82.035	20.0	534	random	1	random
105.066	15.0	n/a	n/a	n/a	fix
120.047	20.0	838	mental	1	mental
143.078	15.0	n/a	n/a	n/a	fix
158.058	20.0	1115	random	1	random
181.09	15.0	n/a	n/a	n/a	fix
