bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-01_task-anim_run-001_bold	0.001183366	0.005880624	0	24.46936682	1.138156938	1.016317898	0.418451745	196935.6719	0.095994304	5	4.95049505	2.559563333	2.450176667	2.876666667	2.351846667	0.0100887	-0.012376662	0.010461584	101	80	80	37	5.108273074	2.000000477	3	3	3	148.5767646	7368.462891	51085.69922	5799.222656	155588	241.8406906	234913.9102	172762.0625	2.985181744	472648.4063	2874836.25	2896283	40409	1924119.925	3680386.3	566971.875	63.69245148
sub-01_task-anim_run-002_bold	0.00092505	0.00689699	0	24.47758707	1.115364832	1.001126842	0.418882625	183346.5938	0.094160507	3	2.97029703	2.553694444	2.444386667	2.867676667	2.34902	0.0133904	-0.012295957	0.010258378	101	80	80	37	5.137980449	2.000000477	3	3	3	143.718454	7695.372559	52114.61719	6020.13916	155553	190.8628784	238065.2625	176390.4844	2.859177208	476079.5313	2893980.25	2914248.5	40381	1944993.375	3706608	567190.25	60.56285477
sub-01_task-anim_run-003_bold	0.000992079	0.006774201	0	24.97774439	1.129233247	1.01046467	0.419396535	190515.4375	0.098120517	0	0	2.541695556	2.433483333	2.853246667	2.338356667	0.0134381	-0.013092234	0.011445188	101	80	80	37	5.168538145	2.000000477	3	3	3	143.2352032	7535.166992	53220.42969	5921.402344	155578	220.0501579	243267.4414	181063.3438	2.812048767	480283.8125	2914005.75	2932376.75	40333	1968294.4	3726389.55	567344.25	63.16582489
sub-01_task-anim_run-004_bold	0.002296337	0.006067471	0	25.03654304	1.156263221	1.019990039	0.418209182	189117.3125	0.092910088	1	0.99009901	2.53334	2.430556667	2.83048	2.338983333	0.0136198	-0.013066487	0.011291221	101	80	80	37	4.99062949	2.000000477	3	3	3	170.0170591	7959.784668	54628.67578	6102.14209	155727	180.3862503	247568.4562	188516.9531	2.726365734	512150.5	3022538.75	3027420.25	40203	2052626.425	3915356.85	606613.375	63.1708374
sub-02_task-anim_run-001_bold	0.003706436	0.009856132	0	25.13219982	1.126926146	0.990749091	0.469640785	121217.1484	0.070125256	1	0.99009901	2.393163333	2.233023333	2.64625	2.300216667	0.00654735	0.003545366	0.004822325	101	80	80	37	4.905297129	2.000000477	3	3	3	64.38842776	5953.168945	46269.61719	4633.162109	147080	208.9352882	277138.4297	139046.2188	3.182699189	291825.2188	1786812.125	1785698.25	49101	1236096.875	2317617.25	364030.9688	52.84568024
sub-02_task-anim_run-002_bold	0.001706238	0.007612465	0	24.19966917	1.129124811	1.006751261	0.469569877	135700.6563	0.060192036	2	1.98019802	2.386434444	2.22364	2.636743333	2.29892	0.0072837	0.003587015	0.004487964	101	80	80	37	4.907152946	2.000000477	3	3	3	61.04425126	8891.640625	73580.28125	6825.769043	147105	233.7539978	443434.6687	222141.0469	3.114973539	466174.625	2844569	2843677.5	49053	1968338.425	3695716.6	579490.5	59.15236664
sub-02_task-anim_run-003_bold	0.000979307	0.008460052	0	27.03641844	1.183199215	0.994340714	0.470352175	115363.1719	0.083698007	2	1.98019802	2.396412222	2.24152	2.63238	2.315336667	0.0162629	0.004058772	0.003602626	101	80	80	37	4.87150567	2.000000477	3	3	3	58.9827438	5871.044922	45915.23438	4563.242188	147070	156.3188782	273145.2422	138765.375	3.102108595	285523.1563	1731704.875	1729627.75	49066	1191953.625	2249588.313	355046.3125	56.88529968
sub-02_task-anim_run-004_bold	0.001198614	0.008699854	0	25.3092882	1.12441584	0.99213064	0.470170101	119133.125	0.072436775	1	0.99009901	2.398537778	2.236876667	2.645066667	2.31367	0.012483	0.0042792	0.00379823	101	80	80	37	4.863677023	2.000000477	3	3	3	58.35436489	9446.105469	74961.05469	7388.231934	147090	280.4037186	448049.7344	225372.6563	3.127540395	470235.8438	2844757	2844373.25	49103	1947572.45	3701195.7	584813.5625	55.95825195
sub-03_task-anim_run-001_bold	0.00098604	0.00835385	0	25.61713915	1.125183418	1.000145494	0.441274409	126339.6797	0.135260356	17	16.83168317	2.544964444	2.32912	2.862796667	2.442976667	0.020579	-0.014390843	0.018149164	101	80	80	37	5.346224235	2.000000477	3	3	3	115.8302179	11453.25977	74918.35938	8925.466797	152670	338.4953964	404913.6875	234908.1094	3.373284489	526839	3524088.75	3541549	43553	2458470.35	4470710.2	662431.6875	56.95513153
sub-03_task-anim_run-002_bold	0.001030099	0.006371838	0	26.67975502	1.213143785	1.012490003	0.439659014	136177.9375	0.082905022	1	0.99009901	2.561068889	2.34555	2.880296667	2.45736	0.0194523	-0.014160147	0.018571369	101	80	80	37	5.129169454	2.000000477	3	3	3	130.6120487	10814.56055	72310.57031	8423.970703	152688	333.0037979	389715.3531	231431.1406	3.49252065	535725.75	3491940.25	3497619.5	43577	2444421.4	4482031.3	681899.75	63.38960648
sub-03_task-anim_run-003_bold	0.001247129	0.007387581	0	25.49968021	1.131886371	1.015051996	0.441421739	128811.2734	0.154524258	28	27.72277228	2.523593333	2.31219	2.844106667	2.414483333	0.0195851	-0.014459278	0.018101178	101	80	80	37	5.329612859	2.000000477	3	3	3	107.7115781	10599.70801	72110.44531	8356.736328	152694	427.4613266	394212.0844	223321.125	3.445187003	501420.9063	3366490	3380777.25	43423	2341029.875	4273047.75	634330.9375	58.47811127
sub-03_task-anim_run-004_bold	0.000953861	0.007002313	0	26.77929356	1.179563587	1.010508232	0.441146662	135315.6719	0.095727255	5	4.95049505	2.542378889	2.32993	2.85286	2.444346667	0.0286642	-0.014366398	0.018369356	101	80	80	37	5.361373959	2.000000477	3	3	3	120.3920816	10497.64063	71980.95313	8209.571289	152622	320.7738266	389145.4641	230151.0156	3.326116385	505413.1875	3389147.25	3403238.5	43601	2364723.5	4298937	634762.5625	61.46202087
sub-04_task-anim_run-001_bold	0.002648614	0.009060211	0	28.30639654	1.192706326	1.008266524	0.413687535	220559.4063	0.163523909	25	24.75247525	2.442116667	2.276103333	2.781563333	2.268683333	0.0232664	-0.018295158	0.021817779	101	80	80	37	4.747171604	2.000000477	3	3	3	281.4833559	8201.717773	53649.06641	6188.608887	156059	236.8862061	245384.3281	196667.4219	2.357083246	578164.625	3219417	3192509.75	40094	2215429.95	4267977.525	672499.375	56.61239243
sub-04_task-anim_run-002_bold	0.003931485	0.013123449	0	33.09710127	1.167737636	1.010066623	0.412542426	271468.3438	0.205039861	26	25.74257426	2.477335556	2.302246667	2.823236667	2.306523333	0.0210343	-0.017995058	0.022641031	101	80	80	37	4.670806676	2.000000477	3	3	3	275.7548654	7319.377441	53007.59766	5567.064941	156148	227.3534721	243769.8766	195606.0938	2.45192576	578226.375	3218961	3197495.5	40061	2179218.25	4270217	684561.75	47.41479111
sub-04_task-anim_run-003_bold	0.001740396	0.010246217	0	31.42334921	1.191969392	0.997203391	0.414235622	255057.5313	0.166266111	24	23.76237624	2.468302222	2.28575	2.82401	2.295146667	0.0160358	-0.018115405	0.021749038	101	80	80	37	4.871913075	2.000000477	3	3	3	243.6589998	7401.107422	52083.32031	5620.731445	155968	211.6257904	242942.3992	186773.4063	2.313194122	553770.5	3142605	3131402	40205	2151149.6	4115878.35	642737.875	54.20417786
sub-04_task-anim_run-004_bold	0.003043663	0.0118589	0	33.45432001	1.171766367	1.003029772	0.414224432	247325.5156	0.20056242	30	29.7029703	2.466478889	2.286633333	2.82234	2.290463333	0.02268	-0.017663967	0.0213989	101	80	80	37	4.871641641	2.000000477	3	3	3	249.7566711	7481.555664	51141.43359	5685.078125	155914	205.7509178	240023.1805	181835.7344	2.418776552	546715.3125	3124498.25	3115077.5	40246	2124146.188	4081186.188	639422.8125	49.52675629
sub-05_task-anim_run-001_bold	0.000884851	0.006340495	0	22.90818071	1.09215927	1.000914475	0.434608618	149034.9688	0.107562386	7	6.930693069	2.455343333	2.315283333	2.75344	2.297306667	0.0147158	-0.000162274	0.01180319	101	80	80	37	5.215571751	2.000000477	3	3	3	98.05518404	8718.172852	52101.13672	6331.432617	153353	133.3112762	238096.775	157966.3906	3.557553802	427957.0313	2732909.75	2746961.25	43268	1900913.594	3478799.238	526678.5	61.86615372
sub-05_task-anim_run-002_bold	0.000955347	0.005931438	0	22.08527327	1.090420122	1.011570191	0.43484214	158789.4219	0.088425052	3	2.97029703	2.441981111	2.301543333	2.74119	2.28321	0.0146155	-0.000351739	0.012323196	101	80	80	37	5.241205647	2.000000477	3	3	3	98.12363188	7935.069336	49331.06641	5765.794922	153328	129.7066078	228011.7219	149292.8906	3.580796724	403393.8438	2589556.25	2600591.5	43251	1809306.313	3291418.75	496176.1875	64.14564514
sub-05_task-anim_run-003_bold	0.001908119	0.006057885	0	22.14502081	1.103884767	1.024205642	0.435224815	157866.6563	0.085023587	4	3.96039604	2.451695556	2.310673333	2.756666667	2.287746667	0.0249562	-0.00055564	0.012216877	101	80	80	37	5.226878501	2.000000477	3	3	3	98.62838354	7826.166992	49198.49609	5732.688477	153283	159.9272934	227048.575	148884.5625	3.544037524	398983.6563	2562859.75	2574952.25	43344	1779900.194	3260951.412	492631.0313	62.8446846
sub-05_task-anim_run-004_bold	0.001097129	0.006341163	0	22.71054478	1.09645527	1.011683926	0.43466039	163554.1875	0.108625599	11	10.89108911	2.447583333	2.307786667	2.744856667	2.290106667	0.0211326	-0.000456687	0.012303683	101	80	80	37	5.251557152	2.000000477	3	3	3	102.0746789	3010.146484	18700.84766	2184.946289	153311	49.02545929	86143.08203	56637.71875	3.507064603	154321.8438	988078.875	991716.25	43273	689993.3	1255882.45	188840.1406	61.92437363
sub-06_task-anim_run-001_bold	0.002910594	0.010527732	0	34.62033558	1.262679757	1.020973762	0.46641044	78999.92969	0.116402462	8	7.920792079	2.3653	2.251696667	2.641283333	2.20292	0.0151843	-0.012224204	0.021547429	101	80	80	37	5.621124766	2.000000477	3	3	3	103.9341658	11005.87695	67055.6875	8140.607422	146876	278.0329895	306286.875	199942.8906	2.602798309	428699.625	2561981	2568994	48143	1891420.075	3230480.325	457020.1563	50.2865448
sub-06_task-anim_run-002_bold	0.007570099	0.013659902	0	35.0436499	1.245058775	1.053013678	0.467168535	73202.46094	0.180902146	12	11.88118812	2.37696	2.26676	2.649903333	2.214216667	0.0255212	-0.012627271	0.022887919	101	80	80	37	5.625120761	2.000000477	3	3	3	115.7514026	11162.00684	67792.57813	8504.586914	147011	452.2510223	308910.5938	203095.4844	2.47316825	423193.0625	2543785	2548890.5	48158	1879068.706	3210068.125	453121.6563	44.3133049
sub-06_task-anim_run-003_bold	0.002319406	0.00901259	0	32.64017403	1.247700528	1.017506606	0.46609255	79833.375	0.105247719	5	4.95049505	2.366911111	2.25909	2.63652	2.205123333	0.0185215	-0.012304271	0.022243153	101	80	80	37	5.585289086	2.000000477	3	3	3	110.220199	11116.46289	67522.11719	8156.284668	146998	215.6114548	308611.9875	203218.9063	2.521109156	429755.625	2565514.5	2571730.5	48109	1889028.9	3243147.7	460442.375	53.14999008
sub-06_task-anim_run-004_bold	0.001734554	0.009699943	0	34.0051239	1.26130056	1.010692258	0.466361303	78126.49219	0.101613344	4	3.96039604	2.376466667	2.26038	2.65515	2.21387	0.0200815	-0.011858185	0.021695718	101	80	80	37	5.546010464	2.000000477	3	3	3	107.1000494	11045.13965	66832.17188	8182.388672	146876	277.4706421	305501.2969	199724.8438	2.615423834	428671.0938	2552639.75	2559449	48249	1871791.75	3226177.5	461488.9375	51.95531845
sub-07_task-anim_run-001_bold	0.001021782	0.007151323	0	29.92995316	1.280772139	0.995807576	0.41706229	83598.66406	0.077983399	1	0.99009901	2.46996	2.375873333	2.698193333	2.335813333	0.00541627	-0.010075697	0.011563625	101	80	80	37	4.887134615	2.000000477	3	3	3	272.539709	4668.983398	19750.91016	3670.447021	156583	190.0076706	89870.39844	56724.90625	2.422147557	204739.3125	1171115.25	1169403	40198	805528.4594	1540957.325	239278.9531	59.67340088
sub-07_task-anim_run-002_bold	0.000885248	0.006620667	0	30.14388771	1.288227335	0.995177088	0.416590665	85363.71875	0.084869382	0	0	2.467856667	2.37625	2.691646667	2.335673333	0.00657175	-0.009720786	0.010882238	101	80	80	37	4.917233815	2.000000477	3	3	3	282.4460833	4611.583984	19661.78711	3648.758301	156524	198.8052567	89599.75078	56427.89063	2.409871266	206824.4063	1182888.375	1180388.125	40215	816961.3438	1553513.187	240048.2656	61.33735657
sub-07_task-anim_run-003_bold	0.00095505	0.006451171	0	29.97329588	1.295105407	1.008831784	0.417042181	87363.85156	0.077493269	2	1.98019802	2.462537778	2.368736667	2.683946667	2.33493	0.0127596	-0.010155533	0.011760692	101	80	80	37	4.904787817	2.000000477	3	3	3	289.0074224	4559.32959	19768.2207	3564.237061	156477	156.904068	89860.95	59016.47266	2.52432128	204486.25	1170431.75	1167723.25	40236	806268.7813	1538197.156	238075.2813	63.8662529
sub-07_task-anim_run-004_bold	0.001250495	0.007633063	0	29.82040773	1.273196248	0.99026319	0.417264189	74507.28125	0.075152513	1	0.99009901	2.48606	2.3927	2.70909	2.35639	0.012477	-0.009730733	0.011287296	101	80	80	37	4.849578773	2.000000477	3	3	3	274.5653171	12994.05469	52526.1875	10333.78027	156513	543.0258301	238459.4594	151914.2656	2.491039813	543120.1875	3091687.5	3088169.5	40251	2112646.75	4077058.75	636783.375	58.1984787
sub-08_task-anim_run-001_bold	0.001636931	0.006424234	0	27.44474915	1.285657836	1.08594317	0.396310064	54701.63281	0.150468114	23	22.77227723	2.687456667	2.558636667	2.962923333	2.54081	0.01358	-0.006225168	0.006108581	101	80	80	37	4.894007746	2.000000477	3	3	3	118.4294107	16766.23242	56031.21875	15250.88965	159968	1489.924609	217852.6875	157808.75	2.575857206	662445	4049374.25	4077913.5	37102	2640006.863	5278238.2	833235	61.86859894
sub-08_task-anim_run-002_bold	0.010087228	0.016903631	0	33.36110325	1.148795342	1.020764657	0.39843191	56170.33203	0.383143614	73	72.27722772	2.697997778	2.560776667	2.971266667	2.56195	0.0100833	-0.006828099	0.00602948	101	80	80	37	4.994573154	2.000000477	3	3	3	121.7238571	17614.89648	59718.31641	16175.1582	159664	1614.77981	234406.8945	167952.625	2.387669549	685665.375	4245849	4265080.5	37312	2789229.55	5523804.825	853931.5	38.11493683
sub-08_task-anim_run-003_bold	0.00420099	0.008780946	0	30.38029533	1.229698142	1.031954943	0.395821331	56785.82422	0.256592815	51	50.4950495	2.678907778	2.534856667	2.972993333	2.528873333	0.0176585	-0.006292387	0.006112848	101	80	80	37	4.937679112	2.000000477	3	3	3	117.3746268	16290.10938	55509.80078	14784.00391	160227	1252.297681	216289.3984	160082.3125	2.63120502	643074.25	3972132.75	3998694.5	36853	2616849.35	5166155.3	809821.8125	52.11779022
sub-08_task-anim_run-004_bold	0.00260396	0.009968007	0	28.15071489	1.220780767	0.978948931	0.39619383	53492.18359	0.171890933	19	18.81188119	2.694753333	2.553183333	2.98983	2.541246667	0.012868	-0.006071639	0.005990289	101	80	80	37	4.913560298	2.000000477	3	3	3	121.5706832	17859.04688	58152.98438	16206.89746	160085	1504.109985	224568.9375	163457.3438	2.65660032	669967.5625	4152287.25	4182765.5	37047	2724136.5	5411320.45	851258.3125	51.87302399
sub-09_task-anim_run-001_bold	0.00763297	0.020645909	0	31.12151331	1.078325152	0.990375614	0.473397446	76828.00781	0.197253158	24	23.76237624	2.484905556	2.350223333	2.7907	2.313793333	0.00695284	0.000331203	0.024518598	101	80	80	37	4.965005146	2.000000477	3	3	3	70.685619	8450.456055	63049.69531	6557.771484	145917	420.8261292	329214.2312	178964.75	2.271925751	365055.2188	2038443.75	2038958.375	48947	1405974.95	2660598.025	410661.7188	37.97794724
sub-09_task-anim_run-002_bold	0.026521485	0.030626752	0	44.50750382	1.183465678	1.146268846	0.473163437	68667.875	0.599128561	34	33.66336634	2.486197778	2.344813333	2.776023333	2.337756667	0.0467619	0.00092134	0.022796376	101	80	80	37	5.029049898	2.000000477	3	3	3	67.49288744	14120.82813	100144.7969	11127.38379	146103	784.5523926	525855.4687	280245.6563	2.183139354	578827.9375	3275757.75	3272507	48829	2273794.45	4272128.4	650714.0625	26.50232506
