onset	duration	rt	response	acc	type
0	n/a	n/a	n/a	n/a	dummy
1.999	n/a	n/a	n/a	n/a	dummy
3.998	n/a	n/a	n/a	n/a	dummy
6.317	19.7	926	random	1	random
29.013	15.0	n/a	n/a	n/a	fix
43.993	20.0	545	mental	1	mental
67.023	15.0	n/a	n/a	n/a	fix
82.003	20.0	883	mental	1	mental
105.032	15.0	n/a	n/a	n/a	fix
120.012	20.0	570	random	1	random
143.042	15.0	n/a	n/a	n/a	fix
158.022	20.0	354	mental	1	mental
181.051	15.0	n/a	n/a	n/a	fix
