onset	duration	rt	response	acc	type
0	n/a	n/a	n/a	n/a	dummy
2	n/a	n/a	n/a	n/a	dummy
3.999	n/a	n/a	n/a	n/a	dummy
6.225	19.8	1050	mental	1	mental
29.016	15.0	n/a	n/a	n/a	fix
43.997	20.0	1495	notsure	0	mental
67.028	15.0	n/a	n/a	n/a	fix
82.009	20.0	621	random	1	random
105.04	15.0	n/a	n/a	n/a	fix
120.02	20.0	840	mental	1	mental
143.052	15.0	n/a	n/a	n/a	fix
158.032	20.0	629	random	1	random
181.063	15.0	n/a	n/a	n/a	fix
