onset	duration	rt	response	acc	type
0	n/a	n/a	n/a	n/a	dummy
2	n/a	n/a	n/a	n/a	dummy
3.999	n/a	n/a	n/a	n/a	dummy
6.264	19.7	1073	random	1	random
29.016	15.0	n/a	n/a	n/a	fix
43.996	20.0	527	random	1	random
67.027	15.0	n/a	n/a	n/a	fix
82.008	20.0	1025	mental	1	mental
105.039	15.0	n/a	n/a	n/a	fix
120.02	20.0	1095	random	1	random
143.051	15.0	n/a	n/a	n/a	fix
158.032	20.0	687	mental	1	mental
181.063	15.0	n/a	n/a	n/a	fix
