onset	duration	rt	response	acc	type
0	n/a	n/a	n/a	n/a	dummy
1.986	n/a	n/a	n/a	n/a	dummy
3.999	n/a	n/a	n/a	n/a	dummy
6.704	19.3	623	mental	1	mental
29.029	15.0	n/a	n/a	n/a	fix
44.01	20.0	520	mental	1	mental
67.041	15.0	n/a	n/a	n/a	fix
82.021	20.0	700	random	1	random
105.052	15.0	n/a	n/a	n/a	fix
120.033	20.0	585	mental	1	mental
143.064	15.0	n/a	n/a	n/a	fix
158.045	20.0	506	random	1	random
181.076	15.0	n/a	n/a	n/a	fix
