onset	duration	rt	response	acc	type
0	n/a	n/a	n/a	n/a	dummy
2	n/a	n/a	n/a	n/a	dummy
3.999	n/a	n/a	n/a	n/a	dummy
6.651	19.4	909	mental	1	mental
29.042	15.0	n/a	n/a	n/a	fix
44.023	20.0	756	mental	1	mental
67.054	15.0	n/a	n/a	n/a	fix
82.035	20.0	801	random	1	random
105.066	15.0	n/a	n/a	n/a	fix
120.047	20.0	670	mental	1	mental
143.078	15.0	n/a	n/a	n/a	fix
158.059	20.0	765	notsure	0	random
181.103	15.0	n/a	n/a	n/a	fix
